Ajani Goldmane,2WW,4,0,4,M,Planeswalker - Ajani,"+1: You gain 2 life.

-1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.

-6: Put a white Avatar creature token onto the battlefield with ""This creature's power and toughness are each equal to your life total."""
Angel's Mercy,2WW,4,0,0,C,Instant,You gain 7 life.
Armored Ascension,3W,4,0,0,U,Enchantment - Aura,"Enchant creature

Enchanted creature gets +1/+1 for each Plains you control and has flying."
Baneslayer Angel,3WW,5,0,0,M,Creature - Angel,"Flying, first strike, lifelink, protection from Demons and from Dragons"
Blinding Mage,1W,2,0,2,C,Creature - Human Wizard,"W, T: Tap target creature."
Captain of the Watch,4WW,6,0,3,R,Creature - Human Soldier,"Vigilance

Other Soldier creatures you control get +1/+1 and have vigilance.

When Captain of the Watch enters the battlefield, put three 1/1 white Soldier creature tokens onto the battlefield."
Celestial Purge,1W,2,0,0,U,Instant,Exile target black or red permanent.
Divine Verdict,3W,4,0,0,C,Instant,Destroy target attacking or blocking creature.
Elite Vanguard,W,1,0,0,U,Creature - Human Soldier,""
Excommunicate,2W,3,0,0,C,Sorcery,Put target creature on top of its owner's library.
Glorious Charge,1W,2,0,0,C,Instant,Creatures you control get +1/+1 until end of turn.
Griffin Sentinel,2W,3,0,0,C,Creature - Griffin,"Flying

Vigilance (Attacking doesn’t cause this creature to tap.)"
Guardian Seraph,2WW,4,0,4,R,Creature - Angel,"Flying

If a source an opponent controls would deal damage to you, prevent 1 of that damage."
Harm's Way,W,1,0,0,U,Instant,The next 2 damage that a source of your choice would deal to you or a permanent you control this turn is dealt to target creature or player instead.
Holy Strength,W,1,0,0,C,Enchantment - Aura,"Enchant creature

Enchanted creature gets +1/+2."
Honor of the Pure,1W,2,0,0,R,Enchantment,White creatures you control get +1/+1.
Indestructibility,3W,4,0,0,R,Enchantment - Aura,"Enchant permanent

Enchanted permanent is indestructible."
Lifelink,W,1,0,0,C,Enchantment - Aura,"Enchant creature

Enchanted creature has lifelink.
(Damage dealt by the creature also causes its controller to gain that much life.)"
Lightwielder Paladin,3WW,5,0,4,R,Creature - Human Knight,"First strike (This creature deals combat damage before creatures without first strike.)

Whenever Lightwielder Paladin deals combat damage to a player, you may exile target black or red permanent that player controls."
Mesa Enchantress,1WW,3,0,2,R,Creature - Human Druid,"Whenever you cast an enchantment spell, you may draw a card."
Open the Vaults,4WW,6,0,0,R,Sorcery,Return all artifact and enchantment cards from all graveyards to the battlefield under their owners' control.
Pacifism,1W,2,0,0,C,Enchantment - Aura,"Enchant creature

Enchanted creature can't attack or block."
Palace Guard,2W,3,0,0,C,Creature - Human Soldier,Palace Guard can block any number of creatures.
Planar Cleansing,3WWW,6,0,0,R,Sorcery,Destroy all nonland permanents.
Razorfoot Griffin,3W,4,0,2,C,Creature - Griffin,"Flying, first strike"
Rhox Pikemaster,2WW,4,0,3,U,Creature - Rhino Soldier,"First strike

Other Soldier creatures you control have first strike."
Righteousness,W,1,0,0,U,Instant,Target blocking creature gets +7/+7 until end of turn.
Safe Passage,2W,3,0,0,C,Instant,Prevent all damage that would be dealt to you and creatures you control this turn.
Serra Angel,3WW,5,0,0,U,Creature - Angel,"Flying, vigilance (This creature can't be blocked except by creatures with flying or reach, and attacking doesn't cause this creature to tap.)"
Siege Mastodon,4W,5,0,0,C,Creature - Elephant,""
Silence,W,1,0,0,R,Instant,Your opponents can't cast spells this turn. (Spells cast before this resolves are unaffected.)
Silvercoat Lion,1W,2,0,0,C,Creature - Cat,""
Solemn Offering,2W,3,0,0,C,Sorcery,Destroy target artifact or enchantment. You gain 4 life.
Soul Warden,W,1,0,1,C,Creature - Human Cleric,"Whenever another creature enters the battlefield, you gain 1 life."
Stormfront Pegasus,1W,2,0,1,C,Creature - Pegasus,Flying
Tempest of Light,2W,3,0,0,U,Instant,Destroy all enchantments.
Undead Slayer,2W,3,0,2,U,Creature - Human Cleric,"W,T: Exile target Skeleton, Vampire, or Zombie."
Veteran Armorsmith,WW,2,0,0,C,Creature - Human Soldier,Other Soldier creatures you control get +0/+1.
Veteran Swordsmith,2W,3,0,0,C,Creature - Human Soldier,Other Soldier creatures you control get +1/+0.
Wall of Faith,3W,4,0,5,C,Creature - Wall,"Defender
W: Wall of Faith gets +0/+1 until end of turn."
White Knight,WW,2,0,2,U,Creature - Human Knight,"First strike, protection from black"
Air Elemental,3UU,5,0,4,U,Creature - Elemental,Flying (This creature can't be blocked except by creatures with flying or reach.)
Alluring Siren,1U,2,0,0,U,Creature - Siren,T: Target creature an opponent controls attacks you this turn if able.
Cancel,1UU,3,0,0,C,Instant,Counter target spell.
Clone,3U,4,0,0,R,Creature - Shapeshifter,You may have Clone enter the battlefield as a copy of any creature on the battlefield.
Convincing Mirage,1U,2,0,0,C,Enchantment - Aura,"Enchant land

As Convincing Mirage enters the battlefield, choose a basic land type.

Enchanted land is the chosen type."
Coral Merfolk,1U,2,0,1,C,Creature - Merfolk,""
Disorient,3U,4,0,0,C,Instant,Target creature gets -7/-0 until end of turn.
Divination,2U,3,0,0,C,Sorcery,Draw two cards.
Djinn of Wishes,3UU,5,0,4,R,Creature - Djinn,"Flying

Djinn of Wishes enters the battlefield with three wish counters on it.

2UU, Remove a wish counter from Djinn of Wishes: Reveal the top card of your library. You may play that card without paying its mana cost. If you don't, exile it."
Essence Scatter,1U,2,0,0,C,Instant,Counter target creature spell.
Fabricate,2U,3,0,0,U,Sorcery,"Search your library for an artifact card, reveal it, and put it into your hand. Then shuffle your library."
Flashfreeze,1U,2,0,0,U,Instant,Counter target red or green spell.
Hive Mind,5U,6,0,0,R,Enchantment,"Whenever a player casts an instant or sorcery spell, each other player copies that spell. Each of those players may choose new targets for his or her copy."
Horned Turtle,2U,3,0,4,C,Creature - Turtle,""
Ice Cage,1U,2,0,0,C,Enchantment - Aura,"Enchant creature

Enchanted creature can’t attack or block, and its activated abilities can’t be activated.

When enchanted creature becomes the target of a spell or ability, destroy Ice Cage."
Illusionary Servant,1UU,3,0,0,C,Creature - Illusion,"Flying

When Illusionary Servant becomes the target of a spell or ability, sacrifice it."
Jace Beleren,1UU,3,0,3,M,Planeswalker - Jace,"+2: Each player draws a card.

-1: Target player draws a card.

-10: Target player puts the top twenty cards of his or her library into his or her graveyard."
Jump,U,1,0,0,C,Instant,Target creature gains flying until end of turn.
Levitation,2UU,4,0,0,U,Enchantment,Creatures you control have flying. (They can't be blocked except by creatures with flying or reach.)
Merfolk Looter,1U,2,0,1,C,Creature - Merfolk Rogue,"T: Draw a card, then discard a card."
Merfolk Sovereign,1UU,3,0,0,R,Creature - Merfolk,"Other Merfolk creatures you control get +1/+1.
T: Target Merfolk creature is unblockable this turn."
Mind Control,3UU,5,0,0,U,Enchantment - Aura,"Enchant creature

You control enchanted creature."
Mind Spring,XUU,3,0,0,R,Sorcery,Draw X cards.
Negate,1U,2,0,0,C,Instant,Counter target noncreature spell.
Phantom Warrior,1UU,3,0,2,U,Creature - Illusion Warrior,Phantom Warrior is unblockable.
Polymorph,3U,4,0,0,R,Sorcery,Destroy target creature. It can't be regenerated. Its controller reveals cards from the top of his or her library until he or she reveals a creature card. The player puts that card onto the battlefield and shuffles all other cards revealed this way into his or her library.
Ponder,U,1,0,0,C,Sorcery,"Look at the top three cards of your library, then put them back in any order. You may shuffle your library.

Draw a card."
Sage Owl,1U,2,0,1,C,Creature - Bird,"Flying (This creature can't be blocked except by creatures with flying or reach.)

When Sage Owl enters the battlefield, look at the top four cards of your library, then put them back in any order."
